experiment,variant,scenario,seed,best_epoch,best_val_task_loss,total_loss,task_loss,recon_loss,omega_entropy_penalty,omega_entropy_band_violation_share,z_anchor_loss,kstar_mae,kstar_rmse,kstar_spearman_rho,kstar_spearman_p,z_spearman_rho,z_spearman_p,proxy_recon_r2,omega_entropy_mean,omega_peak_accuracy
no_ac_encoder_linear_seed15,no_ac_encoder,linear,15,95,0.12005854398012161,0.050631169229745865,0.050631169229745865,1507832423776256.0,0.0,0.0,0.0,1.9095155096054077,2.2831855957713407,0.0,1.0,0.0,1.0,-3.071742697980056e+16,2.015307640368054,0.165
no_ac_encoder_linear_seed16,no_ac_encoder,linear,16,60,0.11324062943458557,0.06303945183753967,0.06303945183753967,4523100209152.0,0.0,0.0,0.0,1.8468384265899658,2.1856252990060994,0.0,1.0,0.0,1.0,-68614726122272.98,1.9568626972220289,0.165
no_ac_encoder_linear_seed17,no_ac_encoder,linear,17,56,0.1413087397813797,0.06830479204654694,0.06830479204654694,122407116800.0,0.0,0.0,0.0,2.3661644887924194,2.8558258060995145,0.0,1.0,0.0,1.0,-2910386916613.615,1.8829068581537212,0.05
no_ac_encoder_linear_seed18,no_ac_encoder,linear,18,63,0.10429053753614426,0.0635354220867157,0.0635354220867157,40564435189760.0,0.0,0.0,0.0,2.008433666229248,2.4353036108524795,0.0,1.0,0.0,1.0,-735738081723202.9,1.9960789005964465,0.17
no_ac_encoder_linear_seed19,no_ac_encoder,linear,19,53,0.11163671314716339,0.06388994306325912,0.06388994306325912,4954171375616.0,0.0,0.0,0.0,1.8069762134552,2.09423725659937,0.0,1.0,0.0,1.0,-100488642141645.05,2.097085759562521,0.095
no_ac_encoder_nonlinear_seed0,no_ac_encoder,nonlinear,0,200,0.13112635910511017,0.0399935208261013,0.0399935208261013,6440289304576.0,0.0,0.0,0.0,2.366931381225586,2.796370001486603,0.0,1.0,0.0,1.0,-83656752244414.5,1.8858375962121345,0.445
no_ac_encoder_nonlinear_seed1,no_ac_encoder,nonlinear,1,47,0.10802052915096283,0.07228103280067444,0.07228103280067444,29087250776064.0,0.0,0.0,0.0,2.3687985610961912,2.7082281144873366,0.0,1.0,0.0,1.0,-561940507493254.06,1.8896240645296525,0.1
no_ac_encoder_nonlinear_seed2,no_ac_encoder,nonlinear,2,78,0.2610188126564026,0.09126065671443939,0.09126065671443939,258826420224.0,0.0,0.0,0.0,3.187236480712891,3.5202554666722623,0.0,1.0,0.0,1.0,-3400004142602.092,2.0708904535951724,0.105
no_ac_encoder_nonlinear_seed3,no_ac_encoder,nonlinear,3,200,0.1320810317993164,0.04143432155251503,0.04143432155251503,12390979600384.0,0.0,0.0,0.0,2.201695878505707,2.605745516614353,0.0,1.0,0.0,1.0,-244762577132896.75,1.9065061581891245,0.39
no_ac_encoder_nonlinear_seed4,no_ac_encoder,nonlinear,4,188,0.12581481039524078,0.03835798427462578,0.03835798427462578,3967853789184.0,0.0,0.0,0.0,2.1266971397399903,2.6068565631979905,0.0,1.0,0.0,1.0,-73638609601621.81,1.7157704387006407,0.45
no_ac_encoder_nonlinear_seed5,no_ac_encoder,nonlinear,5,29,0.12322434782981873,0.08306258171796799,0.08306258171796799,1199427026944.0,0.0,0.0,0.0,2.301102659702301,2.8835260074122475,0.0,1.0,0.0,1.0,-23312651763673.863,1.781822466639826,0.37
no_ac_encoder_nonlinear_seed6,no_ac_encoder,nonlinear,6,134,0.13251957297325134,0.04274047166109085,0.04274047166109085,8213503257083904.0,0.0,0.0,0.0,2.2955495929718017,2.7627943648331916,0.0,1.0,0.0,1.0,-1.1815200680120706e+17,1.753452089928802,0.42
no_ac_encoder_nonlinear_seed7,no_ac_encoder,nonlinear,7,200,0.15778468549251556,0.04517510533332825,0.04517510533332825,12511446302720.0,0.0,0.0,0.0,2.324309411048889,2.9842925634368345,0.0,1.0,0.0,1.0,-274918693684946.38,1.6591284086813578,0.38
no_ac_encoder_nonlinear_seed8,no_ac_encoder,nonlinear,8,32,0.12113601714372635,0.07793378084897995,0.07793378084897995,647057090019328.0,0.0,0.0,0.0,2.3359502077102663,2.7332448956465436,0.0,1.0,0.0,1.0,-1.4532650088509064e+16,1.8263100353161223,0.355
no_ac_encoder_nonlinear_seed9,no_ac_encoder,nonlinear,9,42,0.12454862147569656,0.07460688799619675,0.07460688799619675,171272290304.0,0.0,0.0,0.0,2.2635034942626953,2.673955091707927,0.0,1.0,0.0,1.0,-3167263216879.9155,1.7149124726358003,0.4
no_ac_encoder_nonlinear_seed10,no_ac_encoder,nonlinear,10,52,0.1324879378080368,0.08590712398290634,0.08590712398290634,7168580663640064.0,0.0,0.0,0.0,2.5184895420074462,2.8292328175629513,0.0,1.0,0.0,1.0,-1.5868147089988573e+17,1.7510291439023018,0.115
no_ac_encoder_nonlinear_seed11,no_ac_encoder,nonlinear,11,44,0.11654745042324066,0.08093495666980743,0.08093495666980743,62925926563840.0,0.0,0.0,0.0,2.716072654724121,2.989338228806787,0.0,1.0,0.0,1.0,-715194807105061.9,1.9302934660122326,0.1
no_ac_encoder_nonlinear_seed12,no_ac_encoder,nonlinear,12,59,0.12698714435100555,0.07502376288175583,0.07502376288175583,6323150174289920.0,0.0,0.0,0.0,2.809072003364563,3.068483888566111,0.0,1.0,0.0,1.0,-9.209751660043133e+16,1.887547312703777,0.085
no_ac_encoder_nonlinear_seed13,no_ac_encoder,nonlinear,13,49,0.1039433628320694,0.07303343713283539,0.07303343713283539,9899642992984064.0,0.0,0.0,0.0,2.2739914512634276,2.6800322269055807,0.0,1.0,0.0,1.0,-1.492614549394813e+17,1.6420810110474233,0.135
no_ac_encoder_nonlinear_seed14,no_ac_encoder,nonlinear,14,41,0.12588340044021606,0.08129049837589264,0.08129049837589264,1760673660928.0,0.0,0.0,0.0,2.614433538913727,2.9654090843505143,0.0,1.0,0.0,1.0,-29186883546013.516,1.780399541770947,0.085
no_ac_encoder_nonlinear_seed15,no_ac_encoder,nonlinear,15,59,0.09797900915145874,0.058558546006679535,0.058558546006679535,6637758709760.0,0.0,0.0,0.0,2.0979122138023376,2.500465793111423,0.0,1.0,0.0,1.0,-151879009891966.84,1.8743068095243296,0.39
no_ac_encoder_nonlinear_seed16,no_ac_encoder,nonlinear,16,50,0.13840919733047485,0.0828806683421135,0.0828806683421135,6007700324352.0,0.0,0.0,0.0,2.646453399658203,2.962526572613875,0.0,1.0,0.0,1.0,-90325249573142.7,1.9810798955998297,0.075
no_ac_encoder_nonlinear_seed17,no_ac_encoder,nonlinear,17,36,0.13232925534248352,0.0802050232887268,0.0802050232887268,2773825617920.0,0.0,0.0,0.0,2.268367576599121,2.8045793579495673,0.0,1.0,0.0,1.0,-41192528872940.18,1.6788044886699822,0.345
no_ac_encoder_nonlinear_seed18,no_ac_encoder,nonlinear,18,126,0.1179330050945282,0.04158401861786842,0.04158401861786842,299099521024.0,0.0,0.0,0.0,2.469871425628662,2.9836567339137465,0.0,1.0,0.0,1.0,-3928139575297.025,1.7754970182062346,0.4
no_ac_encoder_nonlinear_seed19,no_ac_encoder,nonlinear,19,199,0.2004697322845459,0.0548977255821228,0.0548977255821228,1832489404334080.0,0.0,0.0,0.0,2.517936472892761,2.8544004030627677,0.0,1.0,0.0,1.0,-3.5046923548317708e+16,1.9078576386557629,0.39
uniform_lag_linear_seed0,uniform_lag,linear,0,39,0.08337545394897461,0.07140633463859558,0.0676942765712738,0.03712059184908867,0.0,0.0,0.0,1.92,2.2759613353482084,0.0,1.0,-0.7270576764419111,3.5807136555455207e-34,0.4572380633597226,2.3025851124040755,0.0
uniform_lag_linear_seed1,uniform_lag,linear,1,35,0.09153541177511215,0.06873590499162674,0.06802242994308472,0.007134733255952597,0.0,0.0,0.0,1.855,2.195449840010015,0.0,1.0,-0.9584624615615392,7.880190350541848e-110,0.8584179033389406,2.3025851124040755,0.0
uniform_lag_linear_seed2,uniform_lag,linear,2,52,0.10529132932424545,0.06989656388759613,0.0693383738398552,0.005581929348409176,0.0,0.0,0.0,1.945,2.328089345364563,0.0,1.0,0.9898657466436663,8.210620345775156e-170,0.910387102295893,2.3025851124040755,0.0
uniform_lag_linear_seed3,uniform_lag,linear,3,34,0.0867956355214119,0.06862352043390274,0.06838253885507584,0.002409790176898241,0.0,0.0,0.0,1.775,2.149418526020468,0.0,1.0,0.989678241956049,4.996151127778028e-169,0.9503806527214752,2.3025851124040755,0.0
uniform_lag_linear_seed4,uniform_lag,linear,4,33,0.08346486836671829,0.0675177350640297,0.0666215568780899,0.008961784653365612,0.0,0.0,0.0,1.775,2.1071307505705477,0.0,1.0,-0.9890002250056252,2.6282030516574834e-166,0.8453963085864816,2.3025851124040755,0.0
uniform_lag_linear_seed5,uniform_lag,linear,5,36,0.10287170112133026,0.07572805136442184,0.07343613356351852,0.022919204086065292,0.0,0.0,0.0,1.95,2.3194827009486403,0.0,1.0,0.8194734868371711,9.346612801611976e-50,0.6272951862372077,2.3025851124040755,0.0
uniform_lag_linear_seed6,uniform_lag,linear,6,28,0.10152067244052887,0.07505648583173752,0.0747029036283493,0.003535815514624119,0.0,0.0,0.0,1.935,2.2759613353482084,0.0,1.0,-0.9854331358283958,2.631961986877817e-154,0.9437328761735732,2.3025851124040755,0.0
uniform_lag_linear_seed7,uniform_lag,linear,7,31,0.08441481739282608,0.07331029325723648,0.07279380410909653,0.0051649208180606365,0.0,0.0,0.0,1.93,2.3173260452512934,0.0,1.0,0.9761254031350787,2.915750154846939e-133,0.9188794950402935,2.3025851124040755,0.0
uniform_lag_linear_seed8,uniform_lag,linear,8,41,0.10484027862548828,0.07028734683990479,0.06975958496332169,0.005277589894831181,0.0,0.0,0.0,1.95,2.293468988235943,0.0,1.0,0.9926198154953875,2.177301251762793e-183,0.9056217040492988,2.3025851124040755,0.0
uniform_lag_linear_seed9,uniform_lag,linear,9,35,0.10466817766427994,0.07121957093477249,0.0707116574048996,0.0050791408866643906,0.0,0.0,0.0,1.795,2.1587033144922905,0.0,1.0,0.9734568364209106,9.193347901651653e-129,0.9214115101314753,2.3025851124040755,0.0
uniform_lag_linear_seed10,uniform_lag,linear,10,43,0.08765359967947006,0.06737200915813446,0.06677237153053284,0.005996379069983959,0.0,0.0,0.0,1.975,2.2693611435820435,0.0,1.0,-0.9890167254181357,2.2670669104804962e-166,0.9017040143379353,2.3025851124040755,0.0
uniform_lag_linear_seed11,uniform_lag,linear,11,32,0.07985974848270416,0.07151927798986435,0.07124852389097214,0.00270757800899446,0.0,0.0,0.0,2.035,2.414539293529927,0.0,1.0,-0.9908872721818047,2.3324190532978573e-174,0.9537061007776794,2.3025851124040755,0.0
uniform_lag_linear_seed12,uniform_lag,linear,12,50,0.08663497865200043,0.06492309272289276,0.0645907074213028,0.0033238339237868786,0.0,0.0,0.0,2.07,2.4289915602982237,0.0,1.0,0.9846756168904225,3.836001804448818e-152,0.9535938515188626,2.3025851124040755,0.0
uniform_lag_linear_seed13,uniform_lag,linear,13,27,0.07677683979272842,0.06841693073511124,0.06763350963592529,0.007834191434085369,0.0,0.0,0.0,1.8,2.1563858652847827,0.0,1.0,0.9670501762544064,1.3263086739097627e-119,0.8787345473789063,2.3025851124040755,0.0
uniform_lag_linear_seed14,uniform_lag,linear,14,41,0.10051898658275604,0.06974632292985916,0.06913885474205017,0.006074688397347927,0.0,0.0,0.0,2.0,2.3769728648009427,0.0,1.0,-0.9771169279231982,4.593369303368455e-135,0.9119444843450747,2.3025851124040755,0.0
uniform_lag_linear_seed15,uniform_lag,linear,15,34,0.08627993613481522,0.07383360713720322,0.07339443266391754,0.0043917465955019,0.0,0.0,0.0,1.82,2.151743479135001,0.0,1.0,-0.9881572039300984,3.773748593262654e-163,0.9221610007059221,2.3025851124040755,0.0
uniform_lag_linear_seed16,uniform_lag,linear,16,36,0.0997404009103775,0.07183687388896942,0.07134007662534714,0.004967992193996906,0.0,0.0,0.0,1.995,2.3664319132398464,0.0,1.0,0.9774799369984251,9.601456910070825e-136,0.9272548302316616,2.3025851124040755,0.0
uniform_lag_linear_seed17,uniform_lag,linear,17,47,0.10108301043510437,0.07002038508653641,0.06657334417104721,0.03447037562727928,0.0,0.0,0.0,1.85,2.227105745132009,0.0,1.0,0.6771394284857122,3.5049906206740334e-28,0.4290533048247506,2.3025851124040755,0.0
uniform_lag_linear_seed18,uniform_lag,linear,18,39,0.09432762861251831,0.07040904462337494,0.07010657340288162,0.0030247282702475786,0.0,0.0,0.0,1.965,2.3579652245103193,0.0,1.0,-0.9913912847821196,8.554124217242147e-177,0.951379811020349,2.3025851124040755,0.0
uniform_lag_linear_seed19,uniform_lag,linear,19,43,0.10517806559801102,0.06929252296686172,0.06798413395881653,0.013083883561193943,0.0,0.0,0.0,1.915,2.3043437243605824,0.0,1.0,0.9705047626190655,2.7197978910758057e-124,0.7986515122181266,2.3025851124040755,0.0
uniform_lag_nonlinear_seed0,uniform_lag,nonlinear,0,34,0.11601046472787857,0.09360700845718384,0.09311024099588394,0.004967698361724615,0.0,0.0,0.0,3.275,3.5735136770411273,0.0,1.0,-0.9899782494562366,2.7339411317154705e-170,0.923572070481313,2.3025851124040755,0.445
uniform_lag_nonlinear_seed1,uniform_lag,nonlinear,1,27,0.12440524995326996,0.09565925598144531,0.09536534547805786,0.0029391173738986254,0.0,0.0,0.0,3.01,3.3823069050575527,0.0,1.0,0.9904537613440337,2.2742414046358075e-172,0.9495328104795622,2.3025851124040755,0.4
uniform_lag_nonlinear_seed2,uniform_lag,nonlinear,2,21,0.14696553349494934,0.10527938604354858,0.10474222898483276,0.005371542181819677,0.0,0.0,0.0,3.155,3.481379037105842,0.0,1.0,0.973689342233556,3.8918804899083156e-129,0.9058522599997164,2.3025851124040755,0.41
uniform_lag_nonlinear_seed3,uniform_lag,nonlinear,3,32,0.11465222388505936,0.08879785239696503,0.08844464272260666,0.0035320818424224854,0.0,0.0,0.0,3.05,3.392639090737475,0.0,1.0,0.9894292357308934,5.227346029088697e-168,0.9290766746907199,2.3025851124040755,0.39
uniform_lag_nonlinear_seed4,uniform_lag,nonlinear,4,48,0.12564420700073242,0.07916387915611267,0.07873990386724472,0.0042397212237119675,0.0,0.0,0.0,3.23,3.52845575287547,0.0,1.0,-0.9912082802070054,6.803270445843979e-176,0.9257190866771571,2.3025851124040755,0.45
uniform_lag_nonlinear_seed5,uniform_lag,nonlinear,5,35,0.14460964500904083,0.10538886487483978,0.10406903922557831,0.013198241591453552,0.0,0.0,0.0,3.045,3.4014702703389896,0.0,1.0,-0.9460676516912924,7.187896688733739e-99,0.7803504182036262,2.3025851124040755,0.37
uniform_lag_nonlinear_seed6,uniform_lag,nonlinear,6,27,0.13273237645626068,0.1014687642455101,0.10121297091245651,0.0025579503271728754,0.0,0.0,0.0,3.11,3.4510867853474796,0.0,1.0,-0.9871476786919674,1.1818985189692629e-159,0.9597736833397358,2.3025851124040755,0.42
uniform_lag_nonlinear_seed7,uniform_lag,nonlinear,7,30,0.12489946186542511,0.09926676750183105,0.09859950095415115,0.006672671064734459,0.0,0.0,0.0,3.155,3.4713109915419564,0.0,1.0,0.9675316882922074,3.162340665770626e-120,0.8969417630857156,2.3025851124040755,0.38
uniform_lag_nonlinear_seed8,uniform_lag,nonlinear,8,30,0.13702403008937836,0.09457023441791534,0.09405386447906494,0.005163714289665222,0.0,0.0,0.0,2.935,3.2924155266308657,0.0,1.0,0.992150303757594,9.544815350891814e-181,0.9076223787258811,2.3025851124040755,0.355
uniform_lag_nonlinear_seed9,uniform_lag,nonlinear,9,31,0.14140598475933075,0.0973517969250679,0.09652885794639587,0.008229392580688,0.0,0.0,0.0,3.145,3.462657938636157,0.0,1.0,0.9553798844971126,8.092770011521693e-107,0.8695750217296622,2.3025851124040755,0.4
uniform_lag_nonlinear_seed10,uniform_lag,nonlinear,10,50,0.11539966613054276,0.07882163673639297,0.07845929265022278,0.003623451106250286,0.0,0.0,0.0,2.885,3.246536616149585,0.0,1.0,-0.9818045451136279,8.059403475834673e-145,0.9429988240519326,2.3025851124040755,0.35
uniform_lag_nonlinear_seed11,uniform_lag,nonlinear,11,29,0.1330648809671402,0.100680872797966,0.10018455982208252,0.00496314000338316,0.0,0.0,0.0,3.025,3.361547262794322,0.0,1.0,-0.9788464711617793,2.0890438651532158e-138,0.9182215724825631,2.3025851124040755,0.37
uniform_lag_nonlinear_seed12,uniform_lag,nonlinear,12,42,0.1286228895187378,0.09088979661464691,0.09060411900281906,0.0028567451518028975,0.0,0.0,0.0,3.09,3.424908757908742,0.0,1.0,0.9880327008175206,1.056288250853705e-162,0.9583511242528221,2.3025851124040755,0.39
uniform_lag_nonlinear_seed13,uniform_lag,nonlinear,13,29,0.12096280604600906,0.10838538408279419,0.10438501834869385,0.040003664791584015,0.0,0.0,0.0,3.215,3.504283093587046,0.0,1.0,-0.6487347183679592,2.8435967086652376e-25,0.3340999979500978,2.3025851124040755,0.41
uniform_lag_nonlinear_seed14,uniform_lag,nonlinear,14,44,0.13717445731163025,0.08669434487819672,0.08315747231245041,0.035368748009204865,0.0,0.0,0.0,3.13,3.459768778401239,0.0,1.0,-0.5467441686042152,5.50489351781093e-17,0.4833945280556194,2.3025851124040755,0.405
uniform_lag_nonlinear_seed15,uniform_lag,nonlinear,15,27,0.12411315739154816,0.10067019611597061,0.10031808167695999,0.003521115519106388,0.0,0.0,0.0,3.035,3.391164991562634,0.0,1.0,-0.9888682217055429,8.506612813507225e-166,0.9369413572801815,2.3025851124040755,0.39
uniform_lag_nonlinear_seed16,uniform_lag,nonlinear,16,30,0.1401423066854477,0.09715011715888977,0.09685982018709183,0.00290298112668097,0.0,0.0,0.0,3.085,3.4132096331752027,0.0,1.0,0.98996774919373,3.031037613802584e-170,0.9547449923840712,2.3025851124040755,0.39
uniform_lag_nonlinear_seed17,uniform_lag,nonlinear,17,35,0.14255420863628387,0.09654051810503006,0.09166213870048523,0.0487838014960289,0.0,0.0,0.0,3.09,3.402939905434711,0.0,1.0,-0.33508737718442966,1.2339801636908188e-06,0.1585746063024638,2.3025851124040755,0.345
uniform_lag_nonlinear_seed18,uniform_lag,nonlinear,18,48,0.12194924801588058,0.08352509886026382,0.08320046216249466,0.0032463702373206615,0.0,0.0,0.0,3.175,3.4856850115866753,0.0,1.0,-0.9917527938198456,1.2453913582550243e-178,0.9471579177697201,2.3025851124040755,0.4
uniform_lag_nonlinear_seed19,uniform_lag,nonlinear,19,34,0.1367316097021103,0.09356161206960678,0.09264875203371048,0.009128613397479057,0.0,0.0,0.0,3.195,3.4756294393965534,0.0,1.0,0.9896947423685594,4.2677375064402965e-169,0.8591657916836152,2.3025851124040755,0.39
no_recon_regularization_linear_seed0,no_recon_regularization,linear,0,153,0.08101726323366165,0.03127359598875046,0.03127359598875046,0.0032200184650719166,0.0,0.0,0.0,1.1363180160522461,1.4005704104608818,0.9810751245769367,3.8083403061379247e-143,-0.9896197404935125,8.717579555345704e-169,0.948779798954516,1.7639849429380319,0.41
no_recon_regularization_linear_seed1,no_recon_regularization,linear,1,116,0.07007111608982086,0.03429257497191429,0.03429257497191429,0.0031921048648655415,0.0,0.0,0.0,0.7877029323577881,1.0277447240673911,0.9847844114722359,1.90483698770164e-152,0.9919762994074854,8.293766577164585e-180,0.9407325281925324,1.8922486096423927,0.435
no_recon_regularization_linear_seed2,no_recon_regularization,linear,2,179,0.127640038728714,0.040362872183322906,0.040362872183322906,0.025240041315555573,0.0,0.0,0.0,1.3369509887695312,1.6265300123636226,0.7663464339166955,6.550925649671201e-40,0.766532663316583,6.115747604898492e-40,0.6094204905530393,2.0373359483265134,0.28
no_recon_regularization_linear_seed3,no_recon_regularization,linear,3,111,0.07440094649791718,0.035664234310388565,0.035664234310388565,0.0034973900765180588,0.0,0.0,0.0,0.9586785697937011,1.2604119462656593,0.980834423134508,1.3152694229788552e-142,-0.9892672316807921,2.3376613120132675e-167,0.9285113391540186,1.860184054286605,0.37
no_recon_regularization_linear_seed4,no_recon_regularization,linear,4,93,0.06811895966529846,0.03691868111491203,0.03691868111491203,0.003211019095033407,0.0,0.0,0.0,0.8772781348228454,1.067296633486068,0.9784062995468445,1.570566542947742e-137,0.9908527713192832,3.3849253863635433e-174,0.9438665251914847,1.9025196656497037,0.415
no_recon_regularization_linear_seed5,no_recon_regularization,linear,5,136,0.12298883497714996,0.044608790427446365,0.044608790427446365,0.00314732757396996,0.0,0.0,0.0,1.5543814969062806,1.984644211459903,0.9821210924413252,1.440321244149278e-145,-0.9906457661441538,3.071270654715941e-173,0.9471447407409538,2.0749090251168782,0.28
no_recon_regularization_linear_seed6,no_recon_regularization,linear,6,199,0.11323698610067368,0.035634588450193405,0.035634588450193405,0.009572830982506275,0.0,0.0,0.0,1.23723149061203,1.6695486183425883,0.9245866004809261,6.361437624371531e-85,0.9275211880297008,1.4494251675628676e-86,0.8442083014049394,1.9636026117224825,0.36
no_recon_regularization_linear_seed7,no_recon_regularization,linear,7,83,0.06288708746433258,0.04140640050172806,0.04140640050172806,0.0032399699557572603,0.0,0.0,0.0,0.9703038835525513,1.3522604745084277,0.9809090874251157,8.969683850309597e-143,0.9891157278931976,9.29498566662101e-167,0.9472500463155153,1.9457878318743382,0.29
no_recon_regularization_linear_seed8,no_recon_regularization,linear,8,200,0.09662963449954987,0.03163065016269684,0.03163065016269684,0.003018637653440237,0.0,0.0,0.0,1.3048402500152587,1.63599793297822,0.9827735708894423,3.7488561574235823e-147,0.9929363234080855,2.8840677658742752e-185,0.9455249731681,1.9232679527699676,0.375
no_recon_regularization_linear_seed9,no_recon_regularization,linear,9,150,0.10452407598495483,0.036777570843696594,0.036777570843696594,0.003911993466317654,0.0,0.0,0.0,1.2050777792930603,1.5456622742283537,0.9792872125802295,2.654884097658726e-139,0.9901117527938199,7.294785313670883e-171,0.9333901901879257,1.7895462762308836,0.305
no_recon_regularization_linear_seed10,no_recon_regularization,linear,10,138,0.07776559144258499,0.03178723156452179,0.03178723156452179,0.002955226693302393,0.0,0.0,0.0,1.008692309856415,1.2755169923790928,0.9830328393577374,8.460270200861409e-148,-0.9898087452186306,1.4266693672663606e-169,0.9476838417404087,1.7739205315604616,0.435
no_recon_regularization_linear_seed11,no_recon_regularization,linear,11,198,0.0929977223277092,0.03210538625717163,0.03210538625717163,0.004026940558105707,0.0,0.0,0.0,1.3141707181930542,1.5137416420501595,0.9816683066623513,1.6754585879847506e-144,0.9925553138828471,5.136801003240568e-183,0.93557841669855,2.003701814312693,0.365
no_recon_regularization_linear_seed12,no_recon_regularization,linear,12,63,0.06345304846763611,0.042587023228406906,0.042587023228406906,0.005229417700320482,0.0,0.0,0.0,1.1323458933830262,1.4605526090480738,0.9756139216934779,2.3186299136190315e-132,-0.9835085877146931,5.184525970121432e-149,0.9226227580135196,1.8005216585676636,0.28
no_recon_regularization_linear_seed13,no_recon_regularization,linear,13,109,0.07899552583694458,0.0375874787569046,0.0375874787569046,0.016747748479247093,0.0,0.0,0.0,1.4927204442024231,1.755459220354349,0.7297286996861613,1.5704563655929721e-34,-0.7342683567089179,3.7823799418995826e-35,0.723798021709111,1.9398591321502985,0.265
no_recon_regularization_linear_seed14,no_recon_regularization,linear,14,180,0.0986575186252594,0.03458932787179947,0.03458932787179947,0.0034389758948236704,0.0,0.0,0.0,0.9934095597267151,1.2260770140590693,0.9834101322447297,9.30122809509046e-149,-0.9931043276081903,2.682826443439319e-186,0.9466089180565017,1.8283697984117249,0.27
