display_name,family,scenario,experiment,task_loss,effective_kstar_mae,effective_kstar_spearman_rho,effective_lag_entropy_mean,effective_lag_peak_accuracy,best_epoch
TFT,tft,linear,tft_linear_seed9,0.03078801929950714,1.621699481010437,0.36721613482293314,2.242916470050114,0.195,105
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed3,0.07155145704746246,1.6240797519683838,0.345495323550903,2.1307660193983633,0.125,21
GA-Net,ganet,linear,ganet_linear_seed13,0.04734257236123085,1.6318241500854491,0.40810450296417455,2.2186646613430296,0.135,57
TFT,tft,linear,tft_linear_seed5,0.034805718809366226,1.6358815002441407,0.48697169972921533,2.248424741746653,0.165,75
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed0,0.06967781484127045,1.649198299050331,0.4692339221990174,2.1396998365223987,0.15,37
GA-Net,ganet,linear,ganet_linear_seed6,0.028557188808918,1.649653673171997,0.5750602717258413,2.2579357543353646,0.195,128
GA-Net,ganet,linear,ganet_linear_seed3,0.04768501967191696,1.6566859805583953,0.3924024706434973,2.2088131509536955,0.16,56
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed15,0.07716984301805496,1.66187548160553,0.32121674005875517,2.1152442119409183,0.095,21
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed2,0.07217993587255478,1.6729335033893584,0.3730896121861549,2.1545280586792757,0.15,29
GA-Net,ganet,linear,ganet_linear_seed7,0.02874591201543808,1.6735206925868988,0.49913236872088096,2.254610728886583,0.16,89
TFT,tft,linear,tft_linear_seed6,0.02871827408671379,1.6789980483055116,0.5187839724413005,2.249856636293125,0.19,95
GA-Net,ganet,linear,ganet_linear_seed5,0.03121195361018181,1.6790084958076477,0.5299942987409645,2.2497650425154796,0.185,96
GA-Net,ganet,linear,ganet_linear_seed2,0.02842233143746853,1.6871780681610107,0.5122504461944203,2.259845603711745,0.175,95
TFT,tft,linear,tft_linear_seed2,0.03823842108249664,1.6884992253780364,0.4594774616311299,2.2450477094587082,0.175,69
TFT,tft,linear,tft_linear_seed8,0.033852532505989075,1.6911823976039886,0.43484342743822973,2.2550064043652993,0.15,91
TFT,tft,linear,tft_linear_seed19,0.027430681511759758,1.69595170378685,0.5092950325995124,2.250206203517907,0.185,122
GA-Net,ganet,linear,ganet_linear_seed19,0.02825084887444973,1.699940960407257,0.5714065484408161,2.2470210903079524,0.17,110
TFT,tft,linear,tft_linear_seed7,0.03584381937980652,1.7039591801166534,0.38781614094088446,2.229373993691134,0.175,50
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed1,0.06692807376384735,1.71,0.0,2.0160835390924676,0.14,34
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed7,0.0701238140463829,1.710416448712349,0.2975297747006297,2.125220078916556,0.12,33
GA-Net,ganet,linear,ganet_linear_seed16,0.02808903343975544,1.713893448114395,0.5856799386773223,2.2617358471086098,0.2,97
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed8,0.06661611050367355,1.7146169459819793,0.36696736821900394,2.1267543943855687,0.11,36
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed9,0.0679202526807785,1.7175622081756592,0.2658550454153601,2.1750880272682536,0.135,48
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed17,0.06752229481935501,1.73075197160244,0.282621785679577,2.1561196829802283,0.15,47
TFT,tft,linear,tft_linear_seed10,0.0313708521425724,1.7312580478191375,0.41903513934730346,2.2472145751132935,0.165,59
TFT,tft,linear,tft_linear_seed14,0.03204501420259476,1.7341305816173553,0.5393199172119618,2.2572709216326925,0.16,62
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed10,0.06787028908729553,1.7367196834087373,0.33909556164746024,2.140535431473839,0.11,33
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed18,0.07294032722711563,1.742193751335144,0.38424552006671747,2.1491954060509233,0.11,25
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed19,0.07195837795734406,1.745245578289032,0.27618788889700524,2.1688620865254906,0.13,23
GA-Net,ganet,linear,ganet_linear_seed8,0.04531415179371834,1.7491459685564041,0.4299614959311877,2.212555702517729,0.12,58
TFT,tft,linear,tft_linear_seed16,0.02988296188414097,1.7491495949029923,0.513522891141393,2.2513160671139425,0.17,80
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed11,0.07131586223840714,1.7504405450820923,0.43751803634575887,2.163339824719915,0.15,38
GA-Net,ganet,linear,ganet_linear_seed18,0.029420293867588043,1.762431775331497,0.5207620660497,2.255288248328436,0.195,118
GA-Net,ganet,linear,ganet_linear_seed14,0.030459614470601082,1.765689821243286,0.5420199059844892,2.2614434048513368,0.165,86
TFT,tft,linear,tft_linear_seed18,0.031327035278081894,1.7659614181518555,0.4731090315539599,2.2579550589663215,0.135,85
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed4,0.054956402629613876,1.7668786859512329,0.0,2.060291134340439,0.14,69
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed16,0.07013729214668274,1.773764111995697,0.38338480782697476,2.1699114576267373,0.12,36
Uniform Lag,ablation,linear,uniform_lag_linear_seed3,0.06838253885507584,1.775,0.0,2.3025851124040755,0.0,34
Uniform Lag,ablation,linear,uniform_lag_linear_seed4,0.0666215568780899,1.775,0.0,2.3025851124040755,0.0,33
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed5,0.06535719335079193,1.7752664995193481,0.29244343072007434,2.165152527704967,0.125,55
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed13,0.06182805076241493,1.78313232421875,0.0,2.019273454301469,0.165,47
GA-Net,ganet,linear,ganet_linear_seed11,0.03363432735204697,1.7844259011745454,0.47533026044805443,2.2315776521028288,0.12,84
Uniform Lag,ablation,linear,uniform_lag_linear_seed9,0.0707116574048996,1.795,0.0,2.3025851124040755,0.0,35
GA-Net,ganet,linear,ganet_linear_seed12,0.029913052916526794,1.7990027976036072,0.5618451326863108,2.2553969507341174,0.16,99
Uniform Lag,ablation,linear,uniform_lag_linear_seed13,0.06763350963592529,1.8,0.0,2.3025851124040755,0.0,27
TFT,tft,linear,tft_linear_seed11,0.03153732419013977,1.8027473825216294,0.47710421150124693,2.2369663529488553,0.115,64
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed10,0.06395115703344345,1.804890637397766,0.0,1.9368168952623679,0.165,52
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed19,0.06388994306325912,1.8069762134552,0.0,2.097085759562521,0.095,53
GA-Net,ganet,linear,ganet_linear_seed10,0.04098057374358177,1.8101950192451477,0.3888863365959746,2.194342169244686,0.12,54
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed2,0.07080631703138351,1.8167920112609863,0.0,2.088318813054968,0.15,46
Uniform Lag,ablation,linear,uniform_lag_linear_seed15,0.07339443266391754,1.82,0.0,2.3025851124040755,0.0,34
TFT,tft,linear,tft_linear_seed12,0.03144119679927826,1.8332038044929504,0.47840515598495137,2.2568964827959452,0.175,67
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed3,0.06017747148871422,1.8418310356140137,0.0,1.9086104236817645,0.16,59
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed16,0.06303945183753967,1.8468384265899658,0.0,1.9568626972220289,0.165,60
Uniform Lag,ablation,linear,uniform_lag_linear_seed17,0.06657334417104721,1.85,0.0,2.3025851124040755,0.0,47
Uniform Lag,ablation,linear,uniform_lag_linear_seed1,0.06802242994308472,1.855,0.0,2.3025851124040755,0.0,35
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed14,0.06675903499126434,1.8576775044202805,0.3558954073609887,2.1478107627138745,0.16,49
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed9,0.06349043548107147,1.861529541015625,0.0,2.001866229516299,0.14,65
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed11,0.06414026021957397,1.8674662971496583,0.0,2.1149234565110797,0.095,55
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed0,0.06365169584751129,1.9082693481445312,0.0,2.08845356789547,0.15,49
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed15,0.050631169229745865,1.9095155096054077,0.0,2.015307640368054,0.165,95
Uniform Lag,ablation,linear,uniform_lag_linear_seed19,0.06798413395881653,1.915,0.0,2.3025851124040755,0.0,43
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed12,0.06862782686948776,1.917389178276062,0.31729076070832696,2.1598848846881857,0.115,34
Uniform Lag,ablation,linear,uniform_lag_linear_seed0,0.0676942765712738,1.92,0.0,2.3025851124040755,0.0,39
Uniform Lag,ablation,linear,uniform_lag_linear_seed7,0.07279380410909653,1.93,0.0,2.3025851124040755,0.0,31
Uniform Lag,ablation,linear,uniform_lag_linear_seed6,0.0747029036283493,1.935,0.0,2.3025851124040755,0.0,28
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed12,0.06268370896577835,1.9445867347717285,0.0,2.049838465711774,0.13,51
Uniform Lag,ablation,linear,uniform_lag_linear_seed2,0.0693383738398552,1.945,0.0,2.3025851124040755,0.0,52
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed6,0.0710851326584816,1.9468692016601563,0.0,2.000404998919905,0.15,49
Uniform Lag,ablation,linear,uniform_lag_linear_seed5,0.07343613356351852,1.95,0.0,2.3025851124040755,0.0,36
Uniform Lag,ablation,linear,uniform_lag_linear_seed8,0.06975958496332169,1.95,0.0,2.3025851124040755,0.0,41
Uniform Lag,ablation,linear,uniform_lag_linear_seed18,0.07010657340288162,1.965,0.0,2.3025851124040755,0.0,39
Uniform Lag,ablation,linear,uniform_lag_linear_seed10,0.06677237153053284,1.975,0.0,2.3025851124040755,0.0,43
Uniform Lag,ablation,linear,uniform_lag_linear_seed16,0.07134007662534714,1.995,0.0,2.3025851124040755,0.0,36
Uniform Lag,ablation,linear,uniform_lag_linear_seed14,0.06913885474205017,2.0,0.0,2.3025851124040755,0.0,41
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed18,0.0635354220867157,2.008433666229248,0.0,1.9960789005964465,0.17,63
Uniform Lag,ablation,linear,uniform_lag_linear_seed11,0.07124852389097214,2.035,0.0,2.3025851124040755,0.0,32
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed8,0.058615341782569885,2.048634099960327,0.0,1.991438095292349,0.13,69
Uniform Lag,ablation,linear,uniform_lag_linear_seed12,0.0645907074213028,2.07,0.0,2.3025851124040755,0.0,50
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed14,0.05282866954803467,2.0885722637176514,0.0,1.9121966075311536,0.13,75
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed7,0.06804860383272171,2.093290147781372,0.0,1.8742939901528783,0.125,52
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed5,0.06633646041154861,2.202731590270996,0.0,2.0098463649734013,0.165,62
No AC Encoder,ablation,linear,no_ac_encoder_linear_seed17,0.06830479204654694,2.3661644887924194,0.0,1.8829068581537212,0.05,56
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed10,0.037583641707897186,1.0913621068000794,0.9635886876726568,1.7375983861931872,0.555,155
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed10,0.03756984323263168,1.0915798377990722,0.9635886876726568,1.7381083755603797,0.555,155
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed3,0.028714805841445923,1.1883452892303468,0.9602418736213579,1.8912438333332502,0.53,199
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed3,0.02871096506714821,1.1884066462516785,0.9602418736213579,1.8913012596147774,0.53,199
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed7,0.037740107625722885,1.212098059654236,0.9607466074506923,1.813843967972274,0.48,82
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed7,0.03795274347066879,1.2135663545131683,0.9605825876754003,1.8111954628790374,0.47,80
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed5,0.045674730092287064,1.3131547701358794,0.9653586911248474,1.8162535330309268,0.455,87
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed5,0.04567670449614525,1.3131791460514068,0.9653590531436106,1.816254760314046,0.455,87
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed17,0.03775505721569061,1.3197985768318177,0.9703125083606788,1.8685020989586831,0.435,198
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed17,0.03775947168469429,1.3199851930141449,0.9703125083606788,1.8685655565545334,0.435,198
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed4,0.034105896949768066,1.3497504007816314,0.9459068805411043,1.7447306213232343,0.52,111
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed4,0.03411836177110672,1.3497586858272552,0.9459068805411043,1.7447103771771184,0.52,111
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed18,0.034786272794008255,1.3631975305080415,0.9282678075886963,1.6903711897728755,0.5,127
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed18,0.03473895043134689,1.3633996617794037,0.9282678075886963,1.6903178675721662,0.5,127
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed13,0.03416357934474945,1.3954286241531373,0.9562344670563163,1.7573962343455225,0.56,190
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed13,0.034182868897914886,1.395663229227066,0.9562344670563163,1.7574727792227016,0.56,190
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed1,0.03923478722572327,1.412449424266815,0.9599989083495244,1.8367920122469246,0.44,131
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed1,0.03923296555876732,1.4129626595973968,0.9599989083495244,1.836915559605797,0.44,131
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed6,0.03524916619062424,1.4226399624347688,0.9542189814872017,1.7893485407911875,0.495,134
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed6,0.03522172570228577,1.423221378326416,0.9542189814872017,1.789527185670126,0.495,134
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed19,0.03846763074398041,1.4397464656829835,0.9265277361971515,1.93473314497682,0.43,132
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed19,0.03847254440188408,1.4398091769218444,0.9265277361971515,1.9347298520268783,0.43,132
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed8,0.03381389006972313,1.4515780758857728,0.9292320651287593,1.8327466293548196,0.515,140
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed8,0.03379659354686737,1.451824358701706,0.9296466920750894,1.8327857161665697,0.515,140
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed16,0.0381028912961483,1.4524215388298034,0.9634415867615265,1.9943560088067778,0.495,200
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed16,0.03807782754302025,1.4524794363975524,0.9634415867615265,1.9943387909949086,0.495,200
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed15,0.03204160928726196,1.4647443187236786,0.9602422880008464,1.8023636890181003,0.475,200
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed15,0.03205312415957451,1.4647457766532899,0.9602422880008464,1.8023245097218887,0.475,200
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed11,0.0346248559653759,1.5065461373329163,0.9658089493908883,1.8065187206972508,0.505,179
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed11,0.03461569547653198,1.507350308895111,0.9658089493908883,1.806588063288163,0.5,179
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed12,0.03496665507555008,1.5662027299404144,0.9640327400143804,1.82303462912888,0.49,124
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed12,0.03500998392701149,1.566412546634674,0.9640327400143804,1.823117750568064,0.49,124
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed0,0.034410133957862854,1.6246825671195984,0.9463826630682467,1.8653304558305883,0.5,156
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed0,0.03441439941525459,1.6247224521636963,0.9463826630682467,1.8653313785708587,0.5,156
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed2,0.04472881183028221,1.722684577703476,0.9542706573967813,1.9327858675549439,0.475,152
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed2,0.04472600668668747,1.7228459656238555,0.9542706573967813,1.9328043279740996,0.475,152
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed14,0.040142230689525604,1.79967444896698,0.9584100437520747,1.9845683781189698,0.52,191
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed14,0.04018981754779816,1.7997508120536805,0.9584100437520747,1.9848552871857492,0.515,191
No AC Encoder,ablation,nonlinear,no_ac_encoder_nonlinear_seed15,0.058558546006679535,2.0979122138023376,0.0,1.8743068095243296,0.39,59
No AC Encoder,ablation,nonlinear,no_ac_encoder_nonlinear_seed4,0.03835798427462578,2.1266971397399903,0.0,1.7157704387006407,0.45,188
No AC Encoder,ablation,nonlinear,no_ac_encoder_nonlinear_seed3,0.04143432155251503,2.201695878505707,0.0,1.9065061581891245,0.39,200
No Recon Regularization,ablation,nonlinear,no_recon_regularization_nonlinear_seed9,0.06062143296003342,2.238308427333832,0.04027654106205073,1.7454794611986335,0.4,79
CMDL,cmdl,nonlinear,cmdl_nonlinear_seed9,0.05991683155298233,2.2387545096874235,0.006277057708327608,1.7448343851209105,0.4,81
No AC Encoder,ablation,nonlinear,no_ac_encoder_nonlinear_seed9,0.07460688799619675,2.2635034942626953,0.0,1.7149124726358003,0.4,42
No AC Encoder,ablation,nonlinear,no_ac_encoder_nonlinear_seed17,0.0802050232887268,2.268367576599121,0.0,1.6788044886699822,0.345,36
No AC Encoder,ablation,nonlinear,no_ac_encoder_nonlinear_seed13,0.07303343713283539,2.2739914512634276,0.0,1.6420810110474233,0.135,49
No AC Encoder,ablation,nonlinear,no_ac_encoder_nonlinear_seed6,0.04274047166109085,2.2955495929718017,0.0,1.753452089928802,0.42,134
No AC Encoder,ablation,nonlinear,no_ac_encoder_nonlinear_seed5,0.08306258171796799,2.301102659702301,0.0,1.781822466639826,0.37,29
No AC Encoder,ablation,nonlinear,no_ac_encoder_nonlinear_seed7,0.04517510533332825,2.324309411048889,0.0,1.6591284086813578,0.38,200
No AC Encoder,ablation,nonlinear,no_ac_encoder_nonlinear_seed8,0.07793378084897995,2.3359502077102663,0.0,1.8263100353161223,0.355,32
Plain LSTM,plain_lstm,nonlinear,plain_lstm_nonlinear_seed10,0.08795987069606781,2.3405874007940293,0.36199269604212725,2.055560519167681,0.255,32
No AC Encoder,ablation,nonlinear,no_ac_encoder_nonlinear_seed0,0.0399935208261013,2.366931381225586,0.0,1.8858375962121345,0.445,200
No AC Encoder,ablation,nonlinear,no_ac_encoder_nonlinear_seed1,0.07228103280067444,2.3687985610961912,0.0,1.8896240645296525,0.1,47
Plain LSTM,plain_lstm,nonlinear,plain_lstm_nonlinear_seed8,0.08914408087730408,2.419825469851494,0.3848320773737194,2.0530117279699516,0.245,26
Plain LSTM,plain_lstm,nonlinear,plain_lstm_nonlinear_seed5,0.09798258543014526,2.4362268477678297,0.38054228224344694,2.028753493049749,0.235,33
GA-Net,ganet,nonlinear,ganet_nonlinear_seed10,0.03667715564370155,2.4544865441322328,0.47091727053932564,2.2410524846140283,0.275,67
Plain LSTM,plain_lstm,nonlinear,plain_lstm_nonlinear_seed11,0.09668426960706711,2.4582172304391863,0.4281360936941467,2.0965743364589904,0.235,34
No AC Encoder,ablation,nonlinear,no_ac_encoder_nonlinear_seed18,0.04158401861786842,2.469871425628662,0.0,1.7754970182062346,0.4,126
TFT,tft,nonlinear,tft_nonlinear_seed10,0.03235059604048729,2.492321306467056,0.5208150834307025,2.23605415910568,0.3,81
